Protein,Location,FRC 0.05,FRC 0.1,FRC 0.15,FRC 0.2,FRC 0.25
H16_A0207,Cytoplasm,1.8245983121531425e-5,2.2917304296171574e-5,8.971925337203894e-6,1.2824274066577927e-5,1.3816233780271042e-5
H16_A0208,Cytoplasm,9.668137447193701e-4,0.001003000773297777,8.718681214422974e-4,8.25749776926794e-4,8.857050461959381e-4
H16_A0209,Cytoplasm,2.5215970062976854e-5,3.446454620477279e-5,5.9039474972845324e-5,3.395061238794151e-5,6.701344782667749e-5
H16_A0210,Cytoplasm,6.111110121304233e-5,8.25007564074588e-5,9.139008652542504e-5,7.473263737191098e-5,7.976311060519546e-5
H16_A0211,Cytoplasm,4.0283072439419406e-5,2.9205550194215002e-5,3.542608231104826e-5,2.9025834295161755e-5,2.628715834370535e-5
H16_A0212,Cytoplasm,5.28945482879362e-5,5.236845239305894e-5,7.048284346209462e-5,8.171832912443999e-5,9.615364172766134e-5
H16_A0213,Cytoplasm,5.860344058399138e-5,4.938601377849406e-5,4.341942035406324e-5,4.697790189813853e-5,5.815452200423387e-5
H16_A0214,Cytoplasm,8.164655125653994e-6,1.536996909128025e-5,1.1584204505080726e-5,1.2380559171722865e-5,8.436376383135698e-6
H16_A0215,Cytoplasm,1.1185915531254958e-5,1.5466010594865138e-5,1.7583136683226848e-5,2.6823438135639972e-5,9.251384981917381e-6
H16_A0217,Cytoplasm,NaN,1.6877855253606192e-7,1.4619764053001648e-7,NaN,1.3570625137152792e-7
H16_A0218,Cell_membrane,1.3912348809725923e-6,NaN,5.26431526090454e-7,7.760261320542525e-7,1.1764422063353804e-6
H16_A0219,Cytoplasm,1.570454370209577e-4,2.3517648579838955e-4,1.6415261219105502e-4,3.635219837613285e-4,2.285607071523094e-4
H16_A0220,Cytoplasm,0.0011422255052643889,6.815563705095215e-4,6.546684542439748e-4,5.923230188689914e-4,5.873223901147459e-4
H16_A0221,Cytoplasm,1.064598209073285e-6,9.90913358191498e-6,1.9217814665733806e-6,2.094699403299984e-6,NaN
H16_A0222,Cytoplasm,1.2422662585728751e-5,1.3000125321247645e-5,8.614224426099977e-6,7.422154155261226e-6,6.8068687966416e-5
H16_A0223,Cytoplasm,6.169176959733257e-5,1.8544130887915885e-4,8.172624369875575e-5,1.0581318880200409e-4,1.172262331752187e-4
H16_A0224,Cytoplasm,6.114397736724213e-4,6.141147356892686e-4,6.198197940901408e-4,5.724327350446633e-4,6.610963656492446e-4
H16_A0225,Cytoplasm,1.0592326293221537e-5,8.164633803800303e-6,7.176196002441748e-6,5.9554254791022474e-6,1.1570670213497382e-5
H16_A0226,Cytoplasm,2.1738184234524507e-4,1.302017025451687e-4,1.4262693752693271e-4,9.723780543595767e-5,7.29286058558091e-5
