gene,model,barseq
H16_A0807,0,0
H16_A2217,0,0
H16_A3411,0,0
H16_B1576,1,0
H16_A2045,1,1
H16_A1681,0,1
H16_A1682,0,1
H16_A3037,0,0
H16_B0560,0,0
H16_B1945,0,0
H16_A0471,0,0
H16_A1356,0,0
H16_A0150,0,0
H16_A2363,0,1
H16_A0953,1,1
H16_B0534,0,0
H16_B1166,0,0
H16_A2724,0,0
H16_B1067,0,0
H16_A2088,1,0
H16_A0065,0,0
H16_A0795,1,0
H16_A2732,1,1
H16_A3712,0,0
H16_B0841,0,0
H16_B0347,0,0
H16_B0824,0,0
H16_A0185,0,0
H16_B0466,0,0
H16_B1819,0,0
H16_B2277,0,0
H16_B1107,0,0
H16_B0932,0,0
H16_B1561,0,0
H16_A0181,0,0
H16_B1997,0,0
H16_A3005,0,0
H16_B1444,0,0
H16_B1436,0,0
H16_A1909,0,0
H16_B0681,0,0
H16_A2436,0,0
H16_A3266,1,1
H16_A3601,0,0
H16_A2132,0,0
H16_A2900,0,0
H16_B1546,0,0
H16_A0794,0,0
H16_B2162,0,0
H16_B1250,0,0
H16_A0624,0,1
H16_A2462,0,0
H16_B1213,0,0
H16_B0795,0,0
H16_B2290,0,0
H16_B2291,0,0
H16_A3077,1,0
H16_B1696,0,0
H16_A2615,0,0
H16_B2564,0,0
H16_A3551,0,0
H16_A1179,0,0
H16_A1039,1,1
H16_A1178,0,0
H16_B2567,0,0
H16_B1841,0,1
H16_A0280,0,0
H16_B1842,0,0
H16_A1949,0,0
H16_A3157,0,0
H16_B0015,0,0
H16_A0764,0,1
H16_B1047,0,0
H16_B0942,0,0
H16_A1702,0,1
H16_B2168,0,0
H16_A0478,0,0
H16_B0941,0,0
H16_A2474,0,0
H16_A0861,0,0
H16_B0713,0,0
H16_A3271,1,1
H16_A0372,0,1
H16_A1736,0,1
H16_B1209,0,0
H16_B0491,0,0
H16_A3038,0,0
H16_B1212,0,0
H16_A3153,0,0
H16_A1002,0,0
H16_A3246,0,1
H16_B0547,0,0
H16_B1503,0,0
H16_B2144,0,0
H16_A1401,0,0
H16_A2855,1,1
H16_A1037,0,0
H16_B0760,0,0
H16_A0430,0,0
H16_A2849,1,1
H16_A3036,0,0
